                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3547,                 3.7219,                 1.0533,                      1,                0.03926,                0.32173,                0.22395,                 1.1881,                 4.1044,                0.99061,              0.0002346,              0.0002346,              0.0002346
                      2,                 1.2339,                 2.2982,                 1.0289,                0.51986,                0.54737,                0.49937,                0.32048,                  1.204,                 2.5508,                 1.0421,             0.00046792,             0.00046792,             0.00046792
                      3,                 1.2559,                 2.0503,                 1.0465,                0.52066,                0.59159,                0.54157,                0.34584,                 1.2392,                 2.2271,                 1.0987,             0.00069653,             0.00069653,             0.00069653
                      4,                 1.1804,                 1.8225,                 1.0298,                0.57475,                0.68079,                0.66851,                0.42601,                 1.1117,                 1.8326,                 1.0094,             0.00069279,             0.00069279,             0.00069279
                      5,                  1.175,                  1.596,                 1.0318,                0.66769,                 0.7371,                 0.7513,                0.49247,                  1.082,                 1.6063,                 1.0187,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.1317,                 1.4264,                 1.0213,                0.75447,                0.70087,                0.76235,                0.51024,                  1.077,                  1.529,                0.99428,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.1548,                  1.369,                 1.0289,                0.74354,                0.75654,                0.77779,                0.51703,                 1.0733,                 1.4444,                0.99902,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.1183,                 1.2121,                  1.014,                0.81139,                0.69211,                0.79986,                0.54917,                 1.0462,                 1.2867,                0.98887,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.0849,                 1.1712,                0.99634,                0.74284,                0.77341,                  0.834,                0.56164,                 1.0587,                 1.2239,                 1.0005,             0.00066452,             0.00066452,             0.00066452
                     10,                 1.0891,                 1.0782,                 1.0052,                0.90536,                0.75948,                0.85149,                0.57114,                 1.0692,                 1.1066,                 1.0086,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.0598,                 1.0059,                0.99451,                0.87279,                0.77461,                0.86351,                0.59956,                0.99896,                 1.0444,                0.97599,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.0641,                0.97182,                0.99478,                0.85599,                0.85755,                 0.9136,                0.63084,                  1.014,                0.95692,                0.98953,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.0612,                0.93364,                0.99465,                0.88805,                0.81773,                0.88994,                0.61475,                  1.029,                0.93129,                0.98959,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.0508,                0.90699,                0.98107,                 0.8507,                0.80948,                 0.8604,                0.56722,                  1.051,                 0.9514,                0.99102,             0.00062918,             0.00062918,             0.00062918
